"location_fips_code","location_name","location_type","population","state","county","metro"
"04003","Cochise County, AZ","County",125504,"Arizona","Cochise County","Sierra Vista-Douglas, AZ"
"4202000","Allentown, PA","City",125292,"Pennsylvania","Lehigh County","Allentown-Bethlehem-Easton, PA-NJ"
"4842508","Lewisville, TX","City",125028,"Texas","Denton County","Dallas-Fort Worth-Arlington, TX"
"0616000","Concord, CA","City",125007,"California","Contra Costa County","San Francisco-Oakland-Berkeley, CA"
"4856348","Pearland, TX","City",124478,"Texas","Brazoria County","Houston-The Woodlands-Sugar Land, TX"
"48183","Gregg County, TX","County",124245,"Texas","Gregg County","Longview, TX"
"0803455","Arvada, CO","City",123066,"Colorado","Jefferson County","Denver-Aurora-Lakewood, CO"
"48300","Wenatchee, WA","Metro",122265,"","","Wenatchee, WA"
"41660","San Angelo, TX","Metro",122229,"","","San Angelo, TX"
"2935000","Independence, MO","City",122218,"Missouri","Jackson County","Kansas City, MO-KS"
"2603000","Ann Arbor, MI","City",122216,"Michigan","Washtenaw County","Ann Arbor, MI"
"40031","Comanche County, OK","County",121777,"Oklahoma","Comanche County","Lawton, OK"
"2240735","Lafayette, LA","City",121706,"Louisiana","Lafayette Parish","Lafayette, LA"
"1254000","Palm Bay, FL","City",121513,"Florida","Brevard County","Palm Bay-Melbourne-Titusville, FL"
"18019","Clark County, IN","County",121484,"Indiana","Clark County","Louisville/Jefferson County, KY-IN"
"0606000","Berkeley, CA","City",121385,"California","Alameda County","San Francisco-Oakland-Berkeley, CA"
"2754880","Rochester, MN","City",120848,"Minnesota","Olmsted County","Rochester, MN"
"4863500","Round Rock, TX","City",120465,"Texas","Williamson County","Austin-Round Rock-Georgetown, TX"
"4815976","College Station, TX","City",120451,"Texas","Brazos County","College Station-Bryan, TX"
"14580","Bozeman, MT","Metro",119685,"","","Bozeman, MT"
"30031","Gallatin County, MT","County",119685,"Montana","Gallatin County","Bozeman, MT"
"0623182","Fairfield, CA","City",119420,"California","Solano County","Vallejo, CA"
"48451","Tom Green County, TX","County",119276,"Texas","Tom Green County","San Angelo, TX"
"4872656","The Woodlands, TX","City",118402,"Texas","Montgomery County","Houston-The Woodlands-Sugar Land, TX"
"4861796","Richardson, TX","City",118063,"Texas","Dallas County","Dallas-Fort Worth-Arlington, TX"
"2511000","Cambridge, MA","City",117962,"Massachusetts","Middlesex County","Boston-Cambridge-Newton, MA-NH"
"1276600","West Palm Beach, FL","City",117588,"Florida","Palm Beach County","Miami-Fort Lauderdale-Pompano Beach, FL"
"3006550","Billings, MT","City",117093,"Montana","Yellowstone County","Billings, MT"
"1212875","Clearwater, FL","City",116984,"Florida","Pinellas County","Tampa-St. Petersburg-Clearwater, FL"
"3774440","Wilmington, NC","City",116933,"North Carolina","New Hanover County","Wilmington, NC"
"1822000","Evansville, IN","City",116906,"Indiana","Vanderburgh County","Evansville, IN-KY"
"4982950","West Jordan, UT","City",116383,"Utah","Salt Lake County","Salt Lake City, UT"
"4550875","North Charleston, SC","City",115755,"South Carolina","Charleston County","Charleston-North Charleston, SC"
"0883835","Westminster, CO","City",115502,"Colorado","Jefferson County","Denver-Aurora-Lakewood, CO"
